macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
27,-14.664800878407519,0.00017447731510521436,-1.6582474556159355e-05,9.553234263960424e-05,0.009306219222564804,1.1113736330433328e-05,0.1971446189631914,16,3,490,94,826.3816643810133,155872.198866073,157029.927059228,2157.2890625
27,-14.664828570762616,0.0001725892892370942,-2.769235509703094e-05,9.553234263960424e-05,0.009306219222564804,0.00010803664535918006,0.2093431482116898,19,4,509,98,5852.4383402629755,161724.637206336,162882.36539949098,2157.2890625
28,-14.664828570762616,0.0001725892892370942,-2.769235509703094e-05,0.00013029076652714495,0.008195588447619303,4.897318916348508e-06,0.2093431482116898,6,1,509,98,630.1105716850143,162354.747778021,163512.475971176,2157.2890625
28,-14.664828570762616,0.0001725892892370942,-2.769235509703094e-05,0.00013029076652714495,0.006679594032993713,1.0947791429042953e-05,0.2093431482116898,11,2,509,98,825.3595036059851,163180.107281627,164337.83547478198,2157.2890625
28,-14.664828570762616,0.0001725892892370942,-2.769235509703094e-05,0.00013029076652714495,0.00827077362091145,1.3732318177619206e-05,0.2093431482116898,16,3,509,98,825.3371143210097,164005.444395948,165163.172589103,2157.2890625
28,-14.664861212810134,0.00017036380029305148,-3.264204751829425e-05,0.00013029076652714495,0.00827077362091145,0.00015534177645557028,0.2869560959102058,21,4,530,102,5709.877182964992,169715.321578913,170873.04977206799,2157.2890625
29,-14.664861212810134,0.00017036380029305148,-3.264204751829425e-05,0.0001259917448523294,0.005754387690488976,4.230433802289116e-06,0.2869560959102058,6,1,530,102,628.6962130200118,170344.017791933,171501.745985088,2157.2890625
29,-14.664861212810134,0.00017036380029305148,-3.264204751829425e-05,0.0001259917448523294,0.005784929487904717,1.1789692725128108e-05,0.2869560959102058,11,2,530,102,824.7449572650075,171168.762749198,172326.490942353,2157.2890625
29,-14.664861212810134,0.00017036380029305148,-3.264204751829425e-05,0.0001259917448523294,0.006620063530362432,1.1346071289721064e-05,0.2869560959102058,16,3,530,102,825.0973513289937,171993.860100527,173151.588293682,2157.2890625
29,-14.664880420189583,0.00016905426814488604,-1.9207379448715756e-05,0.0001259917448523294,0.006620063530362432,0.00013492973836533187,0.2320488314169153,19,4,549,106,5709.276291949995,177703.136392477,178860.864585632,2157.2890625
30,-14.664880420189583,0.00016905426814488604,-1.9207379448715756e-05,0.00012440894979019629,0.0045122870117206264,6.019826324398161e-06,0.2320488314169153,6,1,549,106,628.349530987005,178331.485923464,179489.214116619,2157.2890625
30,-14.66488417022027,0.00016879859632066175,-3.750030687754702e-06,0.00012440894979019629,0.0045122870117206264,4.050291285534993e-05,0.05968552234874254,6,1,555,107,5501.567129008006,183833.053052472,184990.781245627,2157.2890625
31,-14.66488417022027,0.00016879859632066175,-3.750030687754702e-06,0.00010078908388236239,0.0019026435809142523,2.976698438125844e-06,0.05968552234874254,4,1,555,107,628.9066806969931,184461.959733169,185619.687926324,2157.2890625
31,-14.664885442403932,0.00016871186062579046,-1.2721836615270377e-06,0.00010078908388236239,0.0019026435809142523,1.2686595091961896e-05,0.01998918802155936,4,1,559,108,4447.671459661971,188909.63119283097,190067.35938598597,2157.2890625
32,-14.664885442403932,0.00016871186062579046,-1.2721836615270377e-06,8.95510932836192e-05,0.001991946242808046,4.301498642167525e-06,0.01998918802155936,4,1,559,108,628.3538225270458,189537.98501535802,190695.713208513,2157.2890625
32,-14.664886583636385,0.00016863405300038687,-1.141232452539498e-06,8.95510932836192e-05,0.001991946242808046,1.282483104982887e-05,0.019990170559615543,4,1,563,109,4232.593875407008,193770.57889076503,194928.30708392002,2157.2890625
33,-14.664886583636385,0.00016863405300038687,-1.141232452539498e-06,8.407640806838259e-05,0.002447017470874703,3.243435186618206e-06,0.019990170559615543,4,1,563,109,629.3908708499512,194399.96976161498,195557.69795476997,2157.2890625
33,-14.66488782627536,0.00016854933162075005,-1.2426389748299016e-06,8.407640806838259e-05,0.002447017470874703,1.2717282898865013e-05,0.019990586622910363,4,1,567,110,4237.352063608996,198637.32182522397,199795.05001837897,2157.2890625
34,-14.66488782627536,0.00016854933162075005,-1.2426389748299016e-06,8.633166039245866e-05,0.002791794879392923,9.080914724054453e-06,0.019990586622910363,4,1,567,110,627.9060506829992,199265.22787590697,200422.95606906197,2157.2890625
34,-14.66488894656378,0.00016847295193004545,-1.120288420253246e-06,8.633166039245866e-05,0.002791794879392923,2.20474987022585e-05,0.019994919306209634,4,1,571,111,4234.213187150017,203499.441063057,204657.169256212,2157.2890625
35,-14.66488894656378,0.00016847295193004545,-1.120288420253246e-06,0.0001330388660049391,0.002730922698484059,4.373433479249855e-06,0.019994919306209634,4,1,571,111,628.1834728519898,204127.62453590898,205285.35272906398,2157.2890625
35,-14.66488999186392,0.00016840168483495954,-1.045300139779215e-06,0.0001330388660049391,0.002730922698484059,1.3728013524037895e-05,0.019994389856518874,4,1,575,112,4230.352305314038,208357.97684122302,209515.705034378,2157.2890625
36,-14.66488999186392,0.00016840168483495954,-1.045300139779215e-06,0.00013804039745462748,0.002699948447871419,8.767808342686077e-06,0.019994389856518874,4,1,575,112,628.5725626869826,208986.54940391,210144.277597065,2157.2890625
36,-14.664890859106418,0.000168342557459736,-8.67242498259202e-07,0.00013804039745462748,0.002699948447871419,2.1748314928185627e-05,0.01999423211423678,4,1,579,113,4231.917738538003,213218.467142448,214376.195335603,2157.2890625
37,-14.664890859106418,0.000168342557459736,-8.67242498259202e-07,0.0001718607752005889,0.002545550325852383,4.956852483584192e-06,0.01999423211423678,4,1,579,113,628.5012848660117,213846.96842731402,215004.696620469,2157.2890625
